# r/R xi(r/R)
5.640000e-02 -7.870000e-01
1.750000e-01 -6.970000e-01
2.970000e-01 -6.610000e-01
4.130000e-01 -5.600000e-01
5.340000e-01 -3.950000e-01
6.520000e-01 -2.090000e-01
7.730000e-01 -3.850000e-02
8.920000e-01 7.500000e-02
1.010000e+00 1.280000e-01
1.130000e+00 1.320000e-01
1.250000e+00 1.040000e-01
1.370000e+00 6.490000e-02
1.500000e+00 3.620000e-02
1.620000e+00 1.470000e-02
1.730000e+00 1.720000e-03
1.860000e+00 -2.590000e-03
1.970000e+00 -6.900000e-03
2.090000e+00 -1.120000e-02
2.220000e+00 -9.770000e-03
2.330000e+00 -4.020000e-03
2.450000e+00 -2.590000e-03
2.570000e+00 -1.150000e-03
2.690000e+00 -2.590000e-03
2.810000e+00 -2.590000e-03
2.930000e+00 2.870000e-04
