# r/R xi(r/R)
5.690000e-02 -5.870000e-01
1.800000e-01 -7.220000e-01
2.980000e-01 -6.900000e-01
4.210000e-01 -5.440000e-01
5.400000e-01 -3.630000e-01
6.540000e-01 -1.790000e-01
7.700000e-01 -2.560000e-02
9.000000e-01 8.830000e-02
1.020000e+00 1.410000e-01
1.140000e+00 1.480000e-01
1.260000e+00 1.270000e-01
1.350000e+00 1.000000e-01
1.500000e+00 5.170000e-02
1.620000e+00 2.900000e-02
1.740000e+00 9.210000e-03
1.860000e+00 -6.680000e-04
1.980000e+00 -9.120000e-03
2.100000e+00 -9.030000e-03
2.220000e+00 -6.100000e-03
2.340000e+00 -1.750000e-03
2.460000e+00 2.600000e-03
2.580000e+00 6.960000e-03
2.700000e+00 7.040000e-03
2.820000e+00 8.550000e-03
2.940000e+00 1.530000e-03
