# s/R xi^s_0(s/R)
6.190000e-02 -7.300000e-01
1.060000e-01 -8.090000e-01
1.760000e-01 -8.810000e-01
2.340000e-01 -8.870000e-01
3.440000e-01 -8.040000e-01
3.980000e-01 -7.270000e-01
4.570000e-01 -6.280000e-01
4.980000e-01 -5.510000e-01
5.520000e-01 -4.450000e-01
5.910000e-01 -3.660000e-01
6.320000e-01 -2.860000e-01
6.750000e-01 -2.060000e-01
7.140000e-01 -1.280000e-01
7.580000e-01 -5.390000e-02
8.220000e-01 3.350000e-02
8.860000e-01 9.820000e-02
9.580000e-01 1.440000e-01
1.080000e+00 1.740000e-01
1.190000e+00 1.620000e-01
1.300000e+00 1.280000e-01
1.410000e+00 8.500000e-02
1.530000e+00 4.970000e-02
1.640000e+00 2.010000e-02
1.810000e+00 -1.920000e-03
1.920000e+00 -8.470000e-03
2.150000e+00 -7.580000e-03
2.320000e+00 4.050000e-03
2.430000e+00 4.860000e-03
2.540000e+00 5.800000e-03
2.660000e+00 9.540000e-03
2.770000e+00 5.900000e-03
2.880000e+00 2.280000e-04
