# s/R xi^s_0(s/R)
7.910000e-02 -9.780000e-01
1.710000e-01 -9.080000e-01
2.870000e-01 -8.430000e-01
3.670000e-01 -7.750000e-01
4.190000e-01 -6.980000e-01
4.780000e-01 -6.060000e-01
5.140000e-01 -5.390000e-01
5.330000e-01 -5.020000e-01
5.830000e-01 -3.960000e-01
6.270000e-01 -3.070000e-01
6.820000e-01 -1.930000e-01
7.260000e-01 -1.100000e-01
7.750000e-01 -3.590000e-02
8.420000e-01 5.590000e-02
9.390000e-01 1.360000e-01
1.060000e+00 1.700000e-01
1.180000e+00 1.490000e-01
1.310000e+00 1.030000e-01
1.430000e+00 5.760000e-02
1.550000e+00 2.570000e-02
1.670000e+00 5.140000e-03
1.800000e+00 -5.780000e-03
1.920000e+00 -9.580000e-03
2.040000e+00 -9.580000e-03
2.160000e+00 -8.000000e-03
2.290000e+00 -5.620000e-03
2.410000e+00 -3.880000e-03
2.530000e+00 -1.190000e-03
2.650000e+00 -1.190000e-03
2.770000e+00 -1.030000e-03
2.900000e+00 -1.030000e-03
