# s/R xi^s_2(s/R)
5.920000e-02 7.390000e-03
1.800000e-01 -7.830000e-03
2.980000e-01 -7.910000e-03
4.170000e-01 1.640000e-03
5.390000e-01 2.490000e-02
6.560000e-01 5.650000e-02
7.740000e-01 8.530000e-02
8.990000e-01 8.800000e-02
1.020000e+00 6.450000e-02
1.140000e+00 3.280000e-02
1.260000e+00 1.060000e-03
1.380000e+00 -2.240000e-02
1.500000e+00 -2.800000e-02
1.620000e+00 -2.810000e-02
1.730000e+00 -2.400000e-02
1.850000e+00 -1.860000e-02
1.980000e+00 -1.320000e-02
2.090000e+00 -6.390000e-03
2.210000e+00 -5.100000e-03
2.330000e+00 -1.060000e-03
2.460000e+00 2.350000e-04
2.570000e+00 -3.970000e-03
2.690000e+00 -9.560000e-03
2.820000e+00 -1.240000e-02
2.930000e+00 -5.600000e-03
