# s/R xi^s_2(s/R)
6.080000e-02 -2.340000e-03
1.800000e-01 7.330000e-03
3.000000e-01 8.570000e-03
4.190000e-01 2.670000e-02
5.380000e-01 5.320000e-02
6.560000e-01 7.690000e-02
7.820000e-01 8.930000e-02
9.010000e-01 8.640000e-02
1.020000e+00 7.080000e-02
1.140000e+00 4.670000e-02
1.260000e+00 2.550000e-02
1.380000e+00 7.040000e-03
1.500000e+00 -4.360000e-03
1.620000e+00 -8.740000e-03
1.740000e+00 -1.450000e-02
1.860000e+00 -1.190000e-02
1.980000e+00 -1.210000e-02
2.100000e+00 -1.220000e-02
2.220000e+00 -1.100000e-02
2.340000e+00 -8.350000e-03
2.460000e+00 -7.110000e-03
2.580000e+00 -7.280000e-03
2.700000e+00 -7.450000e-03
2.820000e+00 -7.620000e-03
2.940000e+00 -6.380000e-03
